Dataset,Metric,Comparison,Test Type,P-value,Significance,Mean_Diff (OPNs - Base),95% CI Lower,95% CI Upper
vowel,F1,OPNs vs KKM(p),Paired t-test,3.6535361322221327e-09,** (p<0.01),0.24845549479570234,0.22310403484825037,0.2738069547431543
vowel,F1,OPNs vs KKM(l),Paired t-test,7.936151654680298e-10,** (p<0.01),0.22717520782186656,0.20765875821832147,0.24669165742541166
vowel,F1,OPNs vs KKM(r),Paired t-test,4.3794551201973417e-10,** (p<0.01),0.2405722257458381,0.22124003728177305,0.2599044142099031
vowel,F1,OPNs vs TDEC,Paired t-test,2.550898101440496e-08,** (p<0.01),-0.2333450438539486,-0.26302656004256036,-0.20366352766533685
vowel,F1,OPNs vs ZEUS,Paired t-test,7.850162890032462e-09,** (p<0.01),0.19290440814605136,0.17144224777122244,0.2143665685208803
vowel,F1,OPNs vs IDC,Paired t-test,0.0011044056674515705,** (p<0.01),-0.14556100094665628,-0.2154712026422912,-0.07565079925102136
penbased,F1,OPNs vs EDK,Wilcoxon test,0.001953125,** (p<0.01),0.7366693425062623,0.6606585224329165,0.8126801625796081
penbased,F1,OPNs vs MDK,Paired t-test,1.5693794348858343e-09,** (p<0.01),0.6937399240854052,0.6293885650136735,0.7580912831571369
penbased,F1,OPNs vs CDK,Paired t-test,3.457277058020989e-10,** (p<0.01),0.7508290417321783,0.6920730146846842,0.8095850687796725
penbased,F1,OPNs vs KKM(p),Paired t-test,8.846027401391259e-09,** (p<0.01),0.17825221352942822,0.15814995152660669,0.19835447553224975
penbased,F1,OPNs vs KKM(l),Paired t-test,8.846027401391259e-09,** (p<0.01),0.17825221352942822,0.15814995152660669,0.19835447553224975
penbased,F1,OPNs vs KKM(r),Paired t-test,1.9419733170483917e-05,** (p<0.01),0.12445816033764331,0.08983589878900558,0.15908042188628105
penbased,F1,OPNs vs TDEC,Paired t-test,1.8521344503595e-07,** (p<0.01),0.30319307780788796,0.2547764664545319,0.351609689161244
penbased,F1,OPNs vs ZEUS,Paired t-test,2.5256476423331292e-11,** (p<0.01),0.3963091619078879,0.37316996517412815,0.41944835864164765
penbased,F1,OPNs vs IDC,Paired t-test,0.0002053285311025108,** (p<0.01),-0.036794067450592126,-0.05069258568414283,-0.02289554921704142
vehicle,F1,OPNs vs EDK,Wilcoxon test,0.001953125,** (p<0.01),0.21788497867378492,0.11431927526594207,0.32145068208162775
vehicle,F1,OPNs vs MDK,Paired t-test,0.00045918912620199204,** (p<0.01),0.21975711484355825,0.12692709436286345,0.3125871353242531
vehicle,F1,OPNs vs CDK,Wilcoxon test,0.001953125,** (p<0.01),0.3062841363746797,0.19710825112673028,0.4154600216226292
